Item number,Title,Variation details,Custom label (SKU),Available quantity,Format,Currency,Start price,Auction Buy It Now price,Reserve price,Current price,Sold quantity,Watchers,Bids,Start date,End date,eBay category 1 name,eBay category 1 number,eBay category 2 name,eBay category 2 number,Condition,CD:Professional Grader - (ID: 27501),CD:Grade - (ID: 27502),CDA:Certification Number - (ID: 27503),CD:Card Condition - (ID: 40001),eBay Product ID(ePID),Listing site,P:UPC,P:EAN,P:ISBN
"204459483964",VTG Hand Crocheted Stitch Sampler Afghan Blanket Throw 48x48 Multicolor,,,"1","FIXED_PRICE","USD",20.0,,,20.0,"0","2","","Sep-12-23 12:00:45 PDT","Jun-12-26 12:00:45 PDT","Afghans & Throw Blankets","20549","","","Pre-owned","","","","","","US","","",""
"204471448616",Eddie Bauer 1/4 zip Grey & Black Paisley athletic top. Size L,,,"1","FIXED_PRICE","USD",13.99,,,13.99,"0","1","0","Sep-21-23 10:37:53 PDT","Jun-21-26 10:37:53 PDT","Activewear Tops","185082","","","Pre-owned - Good","","","","","","US","","",""
"204483503224","1960s Vintage Satin Art Glass Pink Bird Vase Italy Norleans 11""",,Bin A,"1","FIXED_PRICE","USD",25.99,,,25.99,"0","2","","Oct-02-23 04:18:00 PDT","Jun-02-26 04:18:00 PDT","Vases","73507","","","Used","","","","","","US","","",""
"204494671218",Sonoma Orgalite Freer Dress Shoes Men’s Sz 8.5 Excellent Shape Worn Once,,,"1","FIXED_PRICE","USD",16.0,,,16.0,"0","0","","Oct-10-23 10:20:29 PDT","Jun-10-26 10:20:29 PDT","Dress Shoes","53120","","","Pre-owned - Good","","","","","","US","190103588038","",""
"204502202200",VTG 1993 Dinosaurs Coloring Activity Books Set Of 4 Unused,,,"1","FIXED_PRICE","USD",14.99,,,14.99,"0","2","","Oct-15-23 15:55:24 PDT","Jun-15-26 15:55:24 PDT","Craft Books","134568","","","Good","","","","","","US","","",""
"204503212049",Vintage New Old Stock Champion Western Shirt Men’s Size Medium 15-34 Plaid,,,"1","FIXED_PRICE","USD",35.0,,,35.0,"0","2","","Oct-16-23 09:57:30 PDT","Jun-16-26 09:57:30 PDT","Casual Shirts","175770","","","","","","","","","US","","",""
"204504358781",Star Wars Mens T-Shirt Coming To Your Galaxy Summer 1977 Size Medium,,,"1","FIXED_PRICE","USD",8.99,,,8.99,"0","1","","Oct-17-23 05:31:15 PDT","Jun-17-26 05:31:15 PDT","T-Shirts","15687","","","Pre-owned - Good","","","","","","US","Does not apply","",""
"204504393287",Tasso Elba Ultra Soft Suede Shoulders Crew Neck Light Sweatshirt Sz Men’sM,,,"1","FIXED_PRICE","USD",13.99,,,13.99,"0","0","","Oct-17-23 05:50:12 PDT","Jun-17-26 05:50:12 PDT","Sweaters","11484","","","Pre-owned - Good","","","","","","US","","",""
"204510198954",Levi’s Jeans Signature Gold Label Men Sz 32/30  Relaxed Fit,,,"1","FIXED_PRICE","USD",10.0,,,10.0,"0","2","","Oct-21-23 02:24:42 PDT","Jun-21-26 02:24:42 PDT","Jeans","11483","","","Pre-owned - Good","","","","","","US","Does not apply","",""
"204511560585",Little Rabbits Have Fur Educational Sticker Book 2006 Illustrated By Andre Boos,,Bin B,"1","FIXED_PRICE","USD",12.0,,,12.0,"0","0","","Oct-22-23 02:47:08 PDT","Jun-22-26 02:47:08 PDT","Books","261186","","","Very Good","","","","","","US","","",""
"204518312720",Corelle Dessert Lot Of 4  6.75 Inches,,,"1","FIXED_PRICE","USD",15.0,,,15.0,"0","0","","Oct-27-23 08:14:12 PDT","Jun-27-26 08:14:12 PDT","Plates","262379","","","Used","","","","","","US","Does Not Apply","",""
"204518930284",Star Wars R2DT Blue T-Shirt With Red Eye Sz Large,,,"1","FIXED_PRICE","USD",10.0,,,10.0,"0","0","","Oct-27-23 21:35:02 PDT","May-27-26 21:35:02 PDT","T-Shirts","15687","","","Pre-owned - Good","","","","","","US","","",""
"204520612907",Styson Silver Plated Wine Coasters Small Dish Made In Occupied Japan Set Of  7,,,"1","FIXED_PRICE","USD",19.99,,,19.99,"0","6","0","Oct-29-23 12:22:26 PDT","May-29-26 12:22:26 PDT","Other Decorative Collectibles","73467","","","Used","","","","","","US","","",""
"204520783737",Vtg Miniature Clear Glass Vases Set Of 3,,Bin A,"1","FIXED_PRICE","USD",18.0,,,18.0,"0","0","","Oct-29-23 16:17:51 PDT","May-29-26 16:17:51 PDT","Vases","101415","","","Used","","","","","","US","","",""
"204525875042",Vintage Anchor Hocking Orange Juice Carafe Pitcher,,,"1","FIXED_PRICE","USD",12.99,,,12.99,"0","0","0","Nov-02-23 13:33:47 PDT","Jun-02-26 13:33:47 PDT","Jugs & Pitchers","262376","","","Used","","","","","","US","","",""
"204547369870",Vtg Elephant Carved From Coal Figurine Red Eyes Handcrafted In U.S.A By VCP 1980,,,"1","FIXED_PRICE","USD",14.99,,,14.99,"0","0","","Nov-19-23 22:24:20 PST","Jun-19-26 22:24:20 PDT","Figurines","37867","","","Used","","","","","","US","","",""
"204547403964",Vtg Shrine of the Immaculate Conception Decorative Glass 4.75 x 3.75 Inches,,,"1","FIXED_PRICE","USD",14.0,,,14.0,"0","0","","Nov-19-23 23:13:41 PST","Jun-19-26 23:13:41 PDT","Plates & Plaques","35817","","","Used","","","","","","US","","",""
"204548316958",Vintage Floral Tapestry Clutch Purse Kiss Lock Leather Trim Excellent Condition,,,"1","FIXED_PRICE","USD",25.0,,,25.0,"0","2","","Nov-20-23 19:04:28 PST","Jun-20-26 19:04:28 PDT","Bags, Handbags & Cases","74962","","","","","","","","","US","","",""
"204550148138",Vtg A Stanley Home Product Aluminum Stamped Coasters Ashtrays Set Of 8,,,"1","FIXED_PRICE","USD",12.99,,,12.99,"0","0","","Nov-22-23 05:16:28 PST","Jun-22-26 05:16:28 PDT","Coasters","13907","","","","","","","","","US","","",""
"204550243685","WPC Signed Crown Silver Plated Oval Trivet  Set Of 2 Cornucopia Pattern 8"" x 6""",,,"1","FIXED_PRICE","USD",24.99,,,24.99,"0","1","","Nov-22-23 06:26:37 PST","Jun-22-26 06:26:37 PDT","Other Kitchen Tools & Gadgets","261699","","","","","","","","","US","","",""
"204563358342","NATIONAL GALLERY LONDON Tea Tin Gainsborough, Reynolds, Goya, Nattier 4.25""x3.5""",,,"1","FIXED_PRICE","USD",12.99,,,12.99,"0","0","","Dec-01-23 22:03:31 PST","Jun-01-26 22:03:31 PDT","Merchandise & Memorabilia","165221","","","","","","","","","US","","",""
"204583426466",Vtg Canadian Maple Leaf Aluminum Coasters Pin Trays Wine Coasters Set Of 8,,,"1","FIXED_PRICE","USD",19.99,,,19.99,"0","2","","Dec-16-23 23:11:30 PST","Jun-16-26 23:11:30 PDT","Coasters","13907","","","Used","","","","","","US","","",""
"204609831559",Vtg Collectible Decorative Mini Shoes Ballerina Victorian Edwardian Floral 3 in,,,"1","FIXED_PRICE","USD",14.99,,,14.99,"0","0","0","Jan-08-24 16:34:10 PST","Jun-08-26 16:34:10 PDT","Sculptures & Figurines","261628","","","Used","","","","","","US","","",""
"204614113024","Vtg Teddy Bear Fisherman  with Custom  Basket,  Metal Fish, And Doll Stand 13”",,,"1","FIXED_PRICE","USD",16.99,,,16.99,"0","1","0","Jan-12-24 01:05:55 PST","Jun-12-26 01:05:55 PDT","Bears","262345","","","Used","","","","","","US","","",""
"204622265817",Michael Kors Snow Leopard Print Denim Women’s Size 14,,,"1","FIXED_PRICE","USD",25.0,,,25.0,"0","2","","Jan-18-24 13:27:37 PST","Jun-18-26 13:27:37 PDT","Jeans","11554","","","New without tags","","","","","","US","","",""
"204624260130",Oshkosh Faux Fur Trapper Hat Size 8-12 Years Red And Black Checkered Flannel,,,"1","FIXED_PRICE","USD",9.99,,,9.99,"0","","","Jan-20-24 05:47:38 PST","Jun-20-26 05:47:38 PDT","Hats","57884","","","Pre-owned - Good","","","","","","US","","",""
"204643387282",Vintage Breyer Alabastor Colt 7 in x 7 in Detailed,,,"1","FIXED_PRICE","USD",12.0,,,12.0,"0","2","","Feb-04-24 20:16:45 PST","Jun-04-26 20:16:45 PDT","Other Breyer Model Horses","388","","","Used","","","","","","US","","",""
"204649929232",Vtg United Hatters Cap And Millinery Wool Fedora With Brass Buckle Size Medium,,,"1","FIXED_PRICE","USD",24.99,,,24.99,"0","","","Feb-10-24 08:12:35 PST","Jun-10-26 08:12:35 PDT","Men's Hats","163619","","","","","","","","","US","","",""
"204658489786",Aries Ram Astrology Paperweight With Cut Glass / Frosted Glass,,,"1","FIXED_PRICE","USD",24.99,,,24.99,"0","1","","Feb-17-24 00:06:59 PST","Jun-17-26 00:06:59 PDT","Paperweights","262399","","","New other (see details)","","","","","","US","","",""
"204659526456",Vtg Peek a Pals Titan Needlecraft Growth chart For Toddler Or Small Child 1987,,,"1","FIXED_PRICE","USD",14.5,,,14.5,"0","","","Feb-18-24 00:09:39 PST","Jun-18-26 00:09:39 PDT","Crewel Embroidery Kits","116610","","","New","","","","","","US","Does not apply","",""
"204660272668",MARY MAXIM CHRISTMAS PLASTIC NEEDLEPOINT ORNAMENT KIT Bell Squares 77424 NOS,,,"1","FIXED_PRICE","USD",15.0,,,15.0,"0","","","Feb-18-24 14:50:26 PST","Jun-18-26 14:50:26 PDT","Cross Stitch Kits","34017","","","New","","","","","","US","","",""
"204670882000",NIB Vtg Kamenstein Enamel Colander  Strainer Floral Brass Handles With Box,,,"1","FIXED_PRICE","USD",34.99,,,34.99,"0","0","0","Feb-27-24 03:06:13 PST","Jun-27-26 03:06:13 PDT","Colanders, Strainers & Sifters","11659","","","New","","","","","","US","","",""
"204687211107","Vintage Norman Rockwell  Cup Title Soda Fountain Post Cover August 22, 1953",,,"1","FIXED_PRICE","USD",14.99,,,14.99,"0","1","","Mar-09-24 17:05:19 PST","Jun-09-26 17:05:19 PDT","Mugs","261672","","","Used","","","","","","US","","",""
"204688150302",VTG 90’s CK Jeans T-shirt Single Stitch Vertical Logo Men’s XXL Rare Find,,,"1","FIXED_PRICE","USD",22.0,,,22.0,"0","2","","Mar-10-24 13:54:13 PDT","Jun-10-26 13:54:13 PDT","T-Shirts","175781","","","","","","","","","US","","",""
"204688698109",Greg Norman Khakis Mens 35x30 Beige Golf Casual Pleated Chino Trousers,,,"1","FIXED_PRICE","USD",14.0,,,14.0,"0","","","Mar-11-24 00:02:03 PDT","Jun-11-26 00:02:03 PDT","Pants","57989","","","Pre-owned - Good","","","","","","US","","",""
"204690335745",Home Interior Sonoma Villa Earthenware Cereal Bowl w/Embossed Fruit Raised 3D,,,"1","FIXED_PRICE","USD",18.0,,,18.0,"0","3","","Mar-11-24 20:39:22 PDT","Jun-11-26 20:39:22 PDT","Bowls","262366","","","Used","","","","","","US","","",""
"204691605291",CE Schmidt Workwear Blue Flannel Heavy Shirt Mens Large With Bricklayer Patch,,,"1","FIXED_PRICE","USD",22.0,,,22.0,"0","0","","Mar-12-24 15:21:26 PDT","Jun-12-26 15:21:26 PDT","Casual Button-Down Shirts","57990","","","Pre-owned - Good","","","","","","US","","",""
"204742361924",Gaming Legend Sandals Size 6 Slip On,,,"1","FIXED_PRICE","USD",17.99,,,17.99,"0","0","","Apr-13-24 17:55:54 PDT","Jun-13-26 17:55:54 PDT","Unisex Kids' Shoes","155202","","","New without box","","","","","","US","0605388046444","",""
"204753073486",Vintage Towncraft Multicolored Wool Tweed Blazer 48R,,,"1","FIXED_PRICE","USD",39.99,,,39.99,"0","","","Apr-19-24 20:14:54 PDT","Jun-19-26 20:14:54 PDT","Suits & Suit Separates","3001","","","Pre-owned - Good","","","","","","US","","",""
"204757675766",VTG Ceramic Mouse Figurine With Green Bow And Wild Eyebrows 5.5 Inches Tall Cute,,,"1","FIXED_PRICE","USD",14.0,,,14.0,"0","1","0","Apr-22-24 03:37:38 PDT","Jun-22-26 03:37:38 PDT","Sculptures & Figurines","261628","","","Used","","","","","","US","","",""
"204757779412",Miniature Glazed Ombré Stoneware Jugs With Handles,,Pottery,"1","FIXED_PRICE","USD",19.99,,,19.99,"0","","","Apr-22-24 04:41:03 PDT","Jun-22-26 04:41:03 PDT","Sculptures & Figurines","261628","","","Used","","","","","","US","","",""
